c_d_dep,departamento,c_d_mun,municipio,grupo_de_cultivo,subgrupo_de_cultivo,cultivo,desagregaci_n_regional_y,a_o,periodo,rea_sembrada_ha,rea_cosechada_ha,producci_n_t,rendimiento_t_ha,estado_fisico_produccion,nombre_cientifico,ciclo_de_cultivo
25,CUNDINAMARCA,25754,SOACHA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2006,2006B,82,80,1440,18.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25214,COTA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2006,2006B,2,2,26,17.33,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
54,NORTE DE SANTANDER,54405,LOS PATIOS,HORTALIZAS,ACELGA,ACELGA,ACELGA,2006,2006B,3,3,48,16.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
54,NORTE DE SANTANDER,54518,PAMPLONA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2006,2006B,1,1,5,10.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
68,SANTANDER,68377,LA BELLEZA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2006,2006B,1,1,6,6.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25754,SOACHA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007A,72,70,1260,18.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25214,COTA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007A,2,2,34,17.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
54,NORTE DE SANTANDER,54518,PAMPLONA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007A,1,1,5,10.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
68,SANTANDER,68377,LA BELLEZA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007A,1,1,6,6.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
15,BOYACA,15516,PAIPA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,1,1,1,1.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
19,CAUCA,19392,LA SIERRA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,2,2,10,5.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25754,SOACHA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,62,60,1080,18.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25126,CAJICA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,1,1,11,8.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
54,NORTE DE SANTANDER,54405,LOS PATIOS,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,3,3,48,16.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
54,NORTE DE SANTANDER,54518,PAMPLONA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2007,2007B,1,1,5,10.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
19,CAUCA,19392,LA SIERRA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2008,2008A,2,1,5,4.5,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
25,CUNDINAMARCA,25754,SOACHA,HORTALIZAS,ACELGA,ACELGA,ACELGA,2008,2008A,62,60,1080,18.0,FRUTO FRESCO,BETA VULGARIS,TRANSITORIO
